id,title,normalized_title,author,date,iso_date,file,depth,is_reply,parent_id,thread_root_id,models,topics,error_signatures,body
303,Question on YART,Question on YART,smuthu,2002/11/04-09:49,2002-11-04T09:49:00,Msgs_1_to_726.html,0,false,,303,,rcode|vision,,"| I
have downloaded the ""RCODEPlus2.51A "" that has the YART tool in it.
| As
far as I know, YART is a simple drag-and-drop tool for customizing the
behavior
| of
existing YART-enabled personalities. I worked with the YART.exe &
found that you could
| only
specify some already defined actions for aibo to perform . My question
is can I add my own
| function
/action written in RCODE in the existing YART tool. I want to specify
an action wherein
| after
tracking the pink ball , aibo sends a message to the console that it
has tracked the ball ..
| then
wait for the user command from console & perform the same. Can i
add such a functionality to
| this
existing YART tool?? How difficult is it ?? & How fast can this
task be accomplished???
|"
304,RE:Question on YART,Question on YART,AiboPet,2002/11/05-00:46,2002-11-05T00:46:00,Msgs_1_to_726.html,1,true,303,303,ERS-210,boot_setup|motion|rcode|vision,,"RCODE
and YART related questions can be better answered on the public BBS:
The
AiboLife BBS (Tech & Tinkering) is recommended ->
http://www.aibo-life.com/cgi-bin/forumdisplay.cgi?action=topics&number=5&
>As
far as I know, YART is a simple drag-and-drop tool for customizing the
behavior
>of
existing YART-enabled personalities.
Correct
- it edits parts of the RCODE file.
It
is a tool for newbies to start programming RCODE without having to type
in a line of code or worry about structuring the RCODE program,
or worry about debugging.
You
will need something more powerful.
>
I worked with the YART.exe & found that you could
>only
specify some already defined actions for aibo to perform .
>
My question is can I add my own
>function
/action written in RCODE in the existing YART tool.
re: custom Actions
Any
custom actions will magically appear in the ""User Actions"" list.
You
can create custom actions using several tools.
YART_APG
is the easiest tool - you provide the .WAVs and the tool creates the
motions and LEDs
[ie.
the head bops back and forth, and the ERS-210 mouth lip-syncs with the
audio]
You
can also use the Master Studio Action composer. Save the action library
to memory stick,
and
then run YART. This gives you control over all limbs.
There
are also options for using my free editor for editing motions - but
Action Composer is a much more complete tool.
-------------
re: custom functions / logic
At
this point, you should be editing the RCODE file
(\OPEN-R\APP\PC\AMS\R-CODE.R)
>
I want to specify an action wherein
>after
tracking the pink ball , aibo sends a message to the console that it
has tracked the ball ..
>then
wait for the user command from console & perform the same. Can i
add such a functionality to
>this
existing YART tool?? How difficult is it ?? & How fast can this
task be accomplished???
You
can modify the default YART personality - but instead I would recommend
using it as a learning step,
and
write a simpler RCODE program from scratch.
An
RCODE program that just waits for the pink ball and sends stuff to the
LAN should be very simple.
Start with something like
WHILE 1 == 1
PRINT ""PINK %d %d %d %d"" Pink_Ball Pink_Ball_H Pink_Ball_V Pink_Ball_D
WAIT 100
WEND
Getting
AIBO to track the ball [aim the nost camera at the most pink] gets a
little more tricky
You
need to figure out logic to start tracking, then know when to stop
tracking"
305,ERS-11x walking styles - on an ERS-2x0,ERS-11x walking styles - on an ERS-2x0,AiboPet,2002/11/06-00:44,2002-11-06T00:44:00,Msgs_1_to_726.html,0,false,,305,,build_toolchain|motion|networking,,"If
you look at the CMU source tree, they have the interfaces and objects
(but no source) to more middle-ware modules [see ERS200MW folder]
Also
try out the MotionCommander sample program [
ERS200MW/sample/MotionCommander ]
It
lets you control your AIBO (via the LAN console) to make it walk, turn,
etc
[not
unlike Udi's Telnet based command line program, but with fewer options]
The
cool part is this uses the older walking styles that were available in
the ERS-110/111,
but
dropped in later software for the 210,220 (and of course 31x)
The
old FAST and TROT walking styles are significantly faster than the
'FAST' walking style found in the current software,
which
is why the ERS-111 can win a race with a Super Core ERS-220A [running
standard software]
I'm
still working on repackaging the CMU Motion module into something more
reusable (with much fewer dependencies)"
306,RE:RoboCup2002 source code available,RoboCup2002 source code available,quitthis,2002/11/06-04:37,2002-11-06T04:37:00,Msgs_1_to_726.html,1,true,297,297,,,,"| | >We
are pleased to announce that two RoboCup2002
| | >teams
have opened the source code of their RoboCup
| | >entries
to the general public. You can download
| | >their
technical reports as well as source code from:
| | >https://www.openr.org/page1_2003/index.html
| | >
| | >Many thanks to:
| | >+
CM-Pack'02 (Carnegie Mellon University, USA)
| | >+
German team (Univ Bremen, TU Darmstadt, Humboldt Univ, and Univ
Dortmund, Germany)
| |
| | More,More,More, Please...:)
| |
| | Thanks
| | I love AIBO :)
| | Need More So it wont die...
| | Keep Up The good work and keep AIBO Alive
| |"
307,Author DELETE,Author DELETE,*****,2002/11/06-05:13,2002-11-06T05:13:00,Msgs_1_to_726.html,0,false,499,663,,,,"(The
article that 2002/11/06-04:48 posted, was modified by Author)"
308,Basic questions on RCODE,Basic questions on RCODE,smuthu,2002/11/06-05:20,2002-11-06T05:20:00,Msgs_1_to_726.html,0,false,,308,,boot_setup|build_toolchain|networking|rcode|vision,,"| I
have read through the coding conventions for RCODE But I am confused
how to write, compile & run the code in Memory Stick..
| Let
me summarize what i think should be done & please correct me if I
am wrong.
|
| 1>
Write the program say to track a pink ball in a text editor( Notepad)
using the given RCODE conventions
| So an example would be
| IFPink_ballTHEN
| Action for Pink ball
| ELSE
| WAIT
| ENDIF
| 2>
how do I save this file what extension should I give to this file ??
| 3> How should I go about compiling & runnning it ??
| 4> Then how should I save it to the memory stick ???
|
| The
problem with YART_APG is that it allows only to specify user audio
commands I am not dealing with audio at all.
| all
I want is the video data & track the pink ball with that & when
it tracks it send the info through the wireless lan
| to
the console that it has detected the pink ball then wait for a user
command from the console. Is there similar examples of RCODE for the
same??? I dont have MAster studio...
| the
only tool i have is YART that i downloaded from the aibohack website
|
| The article that posted, was modified by Author
| (The
article that 2002/11/06-05:17 posted, was modified by Author)
|"
309,RE:RoboCup2002 source code available,RoboCup2002 source code available,AiboPet,2002/11/07-00:26,2002-11-07T00:26:00,Msgs_1_to_726.html,2,true,306,297,,motion|vision,,"| | >>We
are pleased to announce that two RoboCup2002
| | >>teams
have opened the source code of their RoboCup
| | >>entries
to the general public. ...
| |
| | >More,More,More,
Please...:)
| |
| | Serious
question: why more ? (or more specifically what more ?)
| |
| | Just
looking at the CMU source code is a wealth of reusable parts - from
walking, to vision, to motion playback ...
| |
| | There
is a lot that deals with the details of the RoboCup game that is not
reusable
| | (unless
you are planning on setting up a color coded soccer field in your home)
| |
| | Having
more RoboCup source code would be ""nice to have"", but IMHO it is no
longer a bottleneck for Open-R SDK developers.
| | More
RoboCup source would give you a different (incompatible) implementation
of walking, kicking and game playing (etc)
| | Rebuilding,
comparing, and reusing this code is time consuming already - and it
gets worse if you plan on integrating source from many teams.
| |
| | ----
| | So,
given the choice ;-), I'd prefer to get source to things that we don't
currently have:
| |
| | For example:
| | *
source to the Sony provided modules used by RoboCup teams (OMWARE in
the ERS200MW as mentioned previously)
| | *
voice recognition
| | *
other sound features (like tone detection, Aibo Melody etc)
| | *
perhaps face recognition in the future...
| | ...
| |
| | [ie.
some of the thing that are available to commercial AiboWare that would
be useful for Open-R SDK programmers]
| |"
310,RE:Basic questions on RCODE,Basic questions on RCODE,AiboPet,2002/11/07-00:28,2002-11-07T00:28:00,Msgs_1_to_726.html,1,true,308,308,,rcode,,">I
have read through the coding conventions for RCODE...
General
info on RCODE can be found here:
http://www.us.aibo.com/ams/rcodespec.txt
(still the old version)
I'll
answer your specific questions off-BBS (this is an Open-R BBS remember)"
311,RE:RoboCup2002 source code available,RoboCup2002 source code available,jgotoys,2002/11/07-04:07,2002-11-07T04:07:00,Msgs_1_to_726.html,2,true,306,297,,motion|vision,,"| | >Just
looking at the CMU source code is a wealth of reusable parts - from
walking, to vision, to motion playback ...
| | >
| |
| | we
have all the sub-components i am currently interested in. but, i am
always happy
| | to
see more stuff made available.
| |
| | >[ie.
some of the thing that are available to commercial AiboWare that would
be useful for Open-R SDK programmers]
| |
| | it
would be nice to pull what we already have into a ""mini-personality"".
| |
| | it
is difficult to experiment without the most basic autonomous behavior to
| | hang
new features on. personally, i am not interested in the behavior itself
| | so
much as having the ability to integrate new stuff with some sort of
behavior.
| |
| | if
someone is planning on doing this, i have some suggestions for the
implementation.
| |
| | otherwise,
i will get around to it myself someday. so, if anyone has suggestions
| | for
the design of such a ""mini-personality"", i would be interested in
hearing
| | them.
| |"
312,List of primitives and sizes,List of primitives and sizes,gatech,2002/11/07-15:20,2002-11-07T15:20:00,Msgs_1_to_726.html,0,false,,312,,,,"| I am
trying to interface the AIBOs using TCPIP from another program.
|
| I
was wondering if anyone has extensive information about the permitted
datatypes and their respective sizes, ranges etc.
|
| like
|
| uint8 [0 - 255] 8 bits
| int32 [0 - (2^32)-1] 32 bits etc.
|
| Thanks
|"
313,RE:List of primitives and sizes,List of primitives and sizes,AiboPet,2002/11/08-01:04,2002-11-08T01:04:00,Msgs_1_to_726.html,1,true,312,312,,,,">I
am trying to interface the AIBOs using TCPIP from another program.
>I
was wondering if anyone has extensive information about the permitted
datatypes and their respective sizes, ranges etc.
Since
you are rolling your own interface, you can use any datatypes you want,
as
long as you have equivalent ones on your host computer.
AIBO
uses low-endian bits/bytes (ie. so called ""Intel"" format). You don't
need to do any byte swapping on a standard PC.
'int's
are 32bits, 'short's are 16bits.
Take
a look at the ""Types.h"" header for Open-R. It includes most of the
very-basic types used,
as well as some common aliases.
>uint8 [0 - 255] 8 bits
>int32
[0 - (2^32)-1] 32 bits etc.
You
will most likely want to use the 'int8'/'uint8'/16/32 variants which
have obvious value ranges
===================
typedef
unsigned char byte; /* must be 8-bit quantity */
typedef
unsigned short word; /* must be 16-bit quantity */
typedef
unsigned long longword; /* must be 32-bit quantity */
typedef
char sbyte; /* must be signed 8-bit quantity */
typedef
short sword; /* must be signed 16-bit quantity */
typedef
long slongword; /* must be signed 32-bit quantity */
typedef
byte* pbyte; /* must be 8-bit addressing unit */
typedef
word* pword; /* must be 16-bit addressing unit */
typedef
int* plongword; /* must be 32-bit addressing unit */
typedef unsigned long magicword;
typedef unsigned char u_char;
typedef unsigned short u_short;
typedef unsigned int u_int;
typedef unsigned long u_long;
typedef char int8;
typedef unsigned char uint8;
typedef short int16;
typedef unsigned short uint16;
typedef long int32;
typedef unsigned long uint32;
typedef long int64; /* XXX */
typedef
unsigned long uint64; /* XXX */"
314,re: Mini-Personality (was discussion on RoboCup source),Mini-Personality (was discussion on RoboCup source),AiboPet,2002/11/08-01:15,2002-11-08T01:15:00,Msgs_1_to_726.html,2,true,,314,,build_toolchain|motion|vision,,"| | >...
| | >it
would be nice to pull what we already have into a ""mini-personality"".
| |
| | Right
now we have little more than what is in the OMWare library (from Sony)
| |
| | It
is a pretty good start (I wish they had released it when the Open-R SDK
was started)
| |
| | It
gives basic middle-ware logic for walking (ERS-111 style), motion net,
color detection etc.
| |
| | You
can use them today, if you can figure out the intefaces from the
headers and minimal samples
| | [that's
the ""ERS200MW"" thing I've been mentioning a lot]
| |
| | I
will be pulling those into a slightly easier to reuse sample, perhaps
with the CMU walking logic as an option.
| |
| | I
consider this a very primitive sample - much less than what I would
call a 'personality'.
| | You
will be able to make AIBO walk with one line of code, stop, turn etc.
| | It
will handle important things like pink ball tracking, getting up when
fallen.
| |
| | That's
about it.
| |
| | There
will be no 'behavior' logic - certainly no moods, learning, voice
recognition, or other ""APP"" layer code
| |
| | >if
someone is planning on doing this, i have some suggestions for the
implementation.
| |
| | I'm
not planning anything grandiose - but if you have some suggestions,
please explain.
| |"
315,RE:re: Mini-Personality (was discussion on RoboCup source),Mini-Personality (was discussion on RoboCup source),jgotoys,2002/11/08-03:19,2002-11-08T03:19:00,Msgs_1_to_726.html,2,true,314,314,,build_toolchain|motion|vision,,"| >It
gives basic middle-ware logic for walking (ERS-111 style), motion net,
color detection etc.
| >
| >I
will be pulling those into a slightly easier to reuse sample, perhaps
with the CMU walking logic as an option.
| >
|
| sounds
like a good plan.
|
| >I
consider this a very primitive sample - much less than what I would
call a 'personality'.
| >You
will be able to make AIBO walk with one line of code, stop, turn etc.
| >It
will handle important things like pink ball tracking, getting up when
fallen.
| >
| >That's
about it.
| >
|
| sounds
good to me.
|
| >There
will be no 'behavior' logic - certainly no moods, learning, voice
recognition, or other ""APP"" layer code
| >
|
| i
won't miss any of that at this point.
|
| >I'm
not planning anything grandiose - but if you have some suggestions,
please explain.
|
| it
would be nice if there was a configuration structure that ties sensor
events
| (e.g.
the Yart Sensor All, Sensor 2x0 and Aibo Sees events, if possible) to
| event
handlers (entry points).
|
| the
default handlers should use the monet code to perform actions.
|
| it
woould be nice if the actions could be mapped in an external
configuration
| file
so the the behavior can be tweaked without recompiling the program.
|"
316,OPEN-R SDK School is now in session!,OPEN-R SDK School is now in session!,openrsupport@(Administrator),2002/11/08-09:46,2002-11-08T09:46:00,Msgs_1_to_726.html,0,false,,316,,,,"| Hello!
|
| We
have opened the ""OPEN-R SDK School"" in the 'University' section of
| this
website. In this section, we explain the concepts of OPEN-R
| (especially
""Inter-Object Communication"") by using and examining sample
| programs.
If you have had difficulties understanding OPEN-R programming,
| it
would be well worth your time to review these presentations.
|
| Our
first course, ""Inter-Object Communication"" is now online, and we will
| have more courses available very soon.
|
| Thanks!
|
| OPEN-R SDK Support
|"
317,WalkBench,WalkBench,AiboPet,2002/11/10-00:19,2002-11-10T00:19:00,Msgs_1_to_726.html,0,false,,317,ERS-210|ERS-220,motion|networking,,"| If
you have an ERS-210 AIBO and a LAN setup, try the new WalkBench program.
|
| http://aibohack.com/openr_sdk/walkbench.htm
|
| Using
simple keyboard commands using telnet, you can remote control your AIBO.
| Note:
not as feature rich as AiboRemote. No video feed or audio features -
just walking and kicking - with may options!
|
| Walkbench:
| *
Includes 10 of the old ERS-11x walking styles (Fast, Trot, Lizard, Baby
etc)
| * Includes CMU RoboCup walking styles
| * Includes CMU RoboCup kicking styles
|
| WARNING:
use at your own risk! The RoboCup dogs wear out their knees a lot
faster than normal AIBOs because of these strange walks.
|
| NOTE:
if you have an old ERS-210, you need to upgrade the system ROM
| Future
versions will support the ERS-220. Please email me if you are
interested.
|
| =======
| Source to driver and hacked CMU Motion object:
|
| http://aibohack.com/openr_sdk/walkbench20_src_no_omware.zip
|
| [you
need to copy the OMWware middleware binaries/headers/libraries from the
CMU release]
|"
318,Can't get wireless (ad-hoc) working with AIBO,Can't get wireless (ad-hoc) working with AIBO,omega697,2002/11/13-03:14,2002-11-13T03:14:00,Msgs_1_to_726.html,0,false,,318,,networking,,"| We
are trying to get our Debian laptop to interface with an AIBO with an
AIBO wireless LAN card in it. We are hoping to get it to work in Ad-Hoc
Demo mode, however, it doesn't seem to work. Here are the main
configuration files on the laptop:
|
| /etc/pcmcia/wireless.opts:
|
| --snip--
| case ""$ADDRESS"" in
|
| #
NOTE : Remove the following four lines to activate the samples below ...
| # --------- START SECTION TO REMOVE -----------
| #*,*,*,*)
| # ;;
| # ---------- END SECTION TO REMOVE ------------
|
| # Here is an example of scheme matching
| # Activate with ""cardctl scheme essidany""
|
| # Pick up any Access Point, should work on most 802.11 cards
| essidany,*,*,*)
| INFO=""AIBO Wireless Network""
| ESSID=""AIBONET""
| MODE=""Ad-Hoc""
| KEY=""AIBO2""
| CHANNEL=""3""
| ;;
| --snip--
|
| /etc/network/interfaces:
| --snip--
|
| iface eth1 inet static
| address 10.0.1.101
| netmask 255.255.255.0
| broadcast 10.0.1.255
| --snip--
|
| And here is the file we are using on the AIBO:
|
| /open-r/system/conf/wlanconf.txt:
|
| HOSTNAME=AIBO
| ETHER_IP=10.0.1.100
| ETHER_NETMASK=255.255.255.0
| IP_GATEWAY=10.0.1.1
| ESSID=AIBONET
| WEPENABLE=1
| WEPKEY=AIBO2
| APMODE=0
| CHANNEL=3
|
| Any
idea what we might be doing wrong? The aibo does not respond to pings,
telnet, or anything else.
|
| -Kurt Dresner
|"
319,Camera picture size,Camera picture size,akebono,2002/11/16-21:11,2002-11-16T21:11:00,Msgs_1_to_726.html,0,false,,319,ERS-210A,vision,,"| How
can I use the camera to receive a picture that is 352 x 288 pixels?
| My model is the grey AIBO ERS 210A.
|
| When
I use the PRM:/r1/c1/c2/c3/i1-FbkImageSensor:F1 device I only receive
| pictures with 176 x 144 pixels.
|
| Is it possible?
| How can I solve this?
|
| /Festis
| (The
article that 2002/11/13-04:38 posted, was modified by Author)
|"
320,RE:WalkBench,WalkBench,AP,2002/11/13-11:29,2002-11-13T11:29:00,Msgs_1_to_726.html,1,true,317,317,ERS-210,motion|networking,,"| | Quick
work! I have not yet tried it yet (nor looked at the CMU code) though.
| | Are
you planning to implement the ""standing up after a fall"" or is this
available
| | as
part of the CMU code? (The very un-dog like maneuver never fails to
impress!)
| |
| | >If
you have an ERS-210 AIBO and a LAN setup, try the new WalkBench program.
| | >
| | >http://aibohack.com/openr_sdk/walkbench.htm
| | >
| | >Using
simple keyboard commands using telnet, you can remote control your AIBO.
| | >Note:
not as feature rich as AiboRemote. No video feed or audio features -
just walking and kicking - with may options!
| | >
| | >Walkbench:
| | >*
Includes 10 of the old ERS-11x walking styles (Fast, Trot, Lizard, Baby
etc)
| | >* Includes CMU RoboCup walking styles
| | >* Includes CMU RoboCup kicking styles
| | >
| |"
321,How to save files in PC using AIBNET tool??,How to save files in PC using AIBNET tool??,smuthu,2002/11/14-04:08,2002-11-14T04:08:00,Msgs_1_to_726.html,0,false,,321,,rcode|vision,,"I
am using AIBnet tool to connect with aibo .. when i run the R-code to
detect
pink ball & print Pink_BAll_D it gives me some values .. but i am
not
sure
as to how it calulates this distance.. Also i wanted to store the
output
that it gets, in to a file in my PC .. can I do this using AIBNET
tool or is there any other way to do this.
I
want to achieve the following task using AIBNET tool & R-code ..
1>
Save the values that AIbO gives after detecting the pink ball in to a
file in my PC
2>
then I will have some program running in my PC that does some processing
on
that data & outputs the action based on that data to another file
in my
PC say ""action.dat""
3>
AIBO should wait till this is done & then when the file for action
is
available
i.e. ""action.dat"" on my PC read that file from the PC & execute
them ..
CAn
I acheive all this using AIBNEt & RCODE ??? how difficult is it??
can u
give me some tips on doing the above ???"
322,RE:Can't get wireless (ad-hoc) working with AIBO,Can't get wireless (ad-hoc) working with AIBO,AiboPet,2002/11/15-04:12,2002-11-15T04:12:00,Msgs_1_to_726.html,1,true,318,318,,networking,,"| >And
here is the file we are using on the AIBO:
| ...
| >APMODE=0
| >CHANNEL=3
|
| Change
this to ""APMODE=2"" (automatic) - it will pickup ad-hoc mode.
| Setting it to 0 never works for me.
|
| Also
if you can find out what channel your PC card uses, hard coding it in
the WLANCONF.TXT can help (although not essential)
|"
323,RE:WalkBench,WalkBench,AiboPet,2002/11/15-04:18,2002-11-15T04:18:00,Msgs_1_to_726.html,2,true,320,317,,motion,,"| >Are
you planning to implement the ""standing up after a fall"" or is this
available
| >as
part of the CMU code?
|
| Yes
the GETUP behavior is part of the CMU code (a special state)
|
| Right
now, WalkBench doesn't use it. Walkbench is a mix of both the CMU code
and the Sony OMWare code (which also has walking, getup, and other
features)
|
| There
are several ways to mix these two (but only one can be in control of
the legs at a time).
| Not
having source to the OMWare modules is a pain (ie. I'd like this to
work on the 31x dogs as well, but without source...)
|"
324,RCODE Questions (URGENT),RCODE Questions (URGENT),smuthu,2002/11/15-05:15,2002-11-15T05:15:00,Msgs_1_to_726.html,0,false,,324,,boot_setup|rcode|vision,,"I
have problems with the Vcsamples That are there on the wesite for LAn
connection
Firstly
I want to mention that I dont have MAster studio So when I use
aiboplayr code
to
ask aibo to perform action , it requires an ""actionfileMTN"" , some le
files & wave file
I suppose to create an ""actionfileMTN"" you require Master studio I want
aibo to perform action
based on some RCODE commands wrritten in simple notepad editor so my
action file will have some thing like
PLAY ACTION STAND
WAIT
PLAY ACTION SIT
WAIT
PLAT ACTION LIE
WAIT
END
can
i do this what extension should i give to this action file
Also
initially when Aibo tracks the pink ball the code should be written in
RCODER file & when i generate
the action it should be updated to this RCODER file I dont know may be
i am confused somewhere But basically
i want to acieve the folllowing using only RCODE i dont have any tool
like MAster studio etc> Initially when i load my memory stick in
AIBo , i have an RCODER file that tracks anythign pink , green,
blue & red& when it tracks any of these colors it creates a
file that saves a number per colour detected say for pink , for green
so on> once this file is created it stores this file in my pc
through lan then i have a program in my pc that is running
that
keeps checking this fle if it gets these numbers it creates an action
file like i discussed before > now this action file has to be
passsed through the lan to aibo for it to perform this i assume can be
done by uploading a new RCODER file
with
the action generated to aibo erasing or appending the old one already
in it that tracks the colors i dont know may be i change the RCODER
or
i upload an action by changing the ACTIONAMS or ACTIONCFG or ACTIONEXT
file that are normally present in the AMS directory under OPENR of any
rcode
memmory
stick I dont know what to change among these or sholuld i even change
it ???
So
i wanted to know how can i establish a LAN connection that does the
above all The program that waits for the file form aibo is not an issue
the issue
is
finding a way to send & receive files to aibo & updating the
memory stick from the console
I
thought the tool ""Aibnet"" had some gui developed to upload mempory
stick or some thing but i am not very clear of how to change it to suit
my requirements
can
u suggest me anyway of achieving the above i have very little time to
do the above mentioned tasks can i achieve it in a week or so ???
also
i wanted to ask that how do i detect other colours i visited the
following website httpwwwaibohackcomrcodercp_imagehtm that talks about
the bit
position
for each colour can u give me some more idea on the same how do i
design the logic to detect some colours i am really confused to the
core of things
can u help
will
the following logic in RCODER work to track the pink ball
PLAY ACTION AP_SNAPSHOT
PLAY ACTION AP_SAVEIMAGE
PRINT "" I AM FINE TILL HERE ""
PLAY ACTION SEARCH PINK_BALL
IF Pink_Ball_D != THEN
PLAY ACTION STAND
PLAY ACTION LIE
BREAK
ENDIF
(The
article that 2002/11/15-05:12 posted, was modified by Author)"
325,Question: How to let WalkBench work on ERS-220?,Question: How to let WalkBench work on ERS-220?,feelwendy,2002/11/15-10:27,2002-11-15T10:27:00,Msgs_1_to_726.html,1,false,,325,ERS-220,,,"| | how
to let walkbench work on ERS? Does all the code from RoboCup worked
only on ERS?
| | (The
article that 2002/11/15-10:06 posted, was modified by Author)
| |"
